"acronyme","coursGrp","nomCours"
"DBA","5 GT:MATH4-02",
"DBA","5 GT:UNIV2-01",
"DBA","5 TT:MATH4-01",
"DBA","6 GT:MATH4-01",
"DBA","6 GT:MATH6-01",
"DBA","6 GT:UNIV2-01",
"DBA","6 TT:MATH4-01",
"DBE",":SUED-",
"DEC","4 GT:FR5-05",
"DEC","5 GT:FR4-04",
"DEC","5 GT:HIS2-04",
"DEC","6 GT:FHIS2-01",
"DEC","6 GT:FHIS2-02",
"DEC","6 GT:FHIS2-03",
"DEC","6 GT:FR4-02",
"DEC","6 TT:FHIS2-01",
"DCL","4 GT:FR5-03",
"DCL","5 GT:FR4-03",
"DCL","5 GT:REL2-03",
"DCL","6 TQ:FR4-05",
"DEL","1C:REL2-01",
"DEL","1C:REL2-05",
"DEL","1S:REL2-05",
"DEL","2C:REL2-05",
"DEL","2C:REL2-06",
"DEL","2C:REL2-08",
"DEL","3 GT:REL2-02",
"DEL","3 GT:REL2-04",
"DEL","3 GT:REL2-05",
"DEL","3 GT:REL2-06",
"DEL","3 GT:REL2-07",
"DEL","3 GT:REL2-08",
"DEP","4 GT:COIN-00",
"DEP","4 GT:SC3-02",
"DEP","4 GT:SC3-03",
"DEP","4 GT:SC5-2a",
"DEP","5 GT:SC3-02",
"DEP","5 GT:SC6-01",
"DEP","5 TT:EDSC2-01",
"DEP","6 GT:SC6-01",
"ODR","4 GT:EDPF2-01",
"ODR","4 GT:EDPF2-03",
"ODR","4 TT:EDPF2-01",
"ODR","5 GT:EDPF2-01",
"ODR","5 GT:EDPF2-02",
"ODR","5 GT:EDPF4-01",
"ODR","5 TT:EDPF2-01",
"ODR","5 TT:EDPF4-01",
"ODR","5 TT:TEEX1-01",
"ODR","6 GT:EDPF2-01",
"ODR","6 GT:EDPF4-01",
"ODR","6 TT:EDPF4-01",
"ODR","6 TT:TEEX1-01",
"DRO","5 GT:NL4-01",
"DRO","5 TT:NL4-01",
"DRO","6 GT:ANG4-03",
"DRO","6 GT:NL4-02",
"DER","1C:ACPL2-01",
"DER","1C:EDAR1-01",
"DER","1C:EDAR1-02",
"DER","1C:EDAR1-03",
"DER","1C:EDAR1-04",
"DER","1D:EDAR2-11",
"DER","1S:EDAR1-02",
"DER","1S:EDAR1-03",
"DER","1S:EDAR1-04",
"DER","2C:EXAR2-01",
"DER","2D:EDAR2-21",
"DER","2S:EDAR3-4a",
"DER","2S:EDAR3-4b",
"DER","4 TT:TEVI2-01",
"DER","5 TQ:TEED2-05",
"DER","5 TT:EDAR2-01",
"DER","6 TQ:TEED2-05",
"DER","6 TT:EDAR2-01",
"DWI","3 GT:ECO4-01",
"DWI","3 GT:ECO4-02",
"DWI","3 GT:ECO4-03",
"DOP","1C:EDPF3-01",
"DOP","1C:EDPF3-03",
"DOP","1D:EDPF3-11",
"DOP","1S:EDPF3-01",
"DOP","1S:EDPF3-03",
"DOP","1S:EDPF3-05",
"DOP","2C:EDPF3-01",
"DOP","2C:EDPF3-02",
"DOP","2D:EDPF3-21",
"DOP","3 GT:EDPF2-03",
"DOP","3 GT:EDPF2-05",
"DOU","1C:EDPM3-01",
"DOU","1C:EDPM3-03",
"DOU","1C:EDPM3-04",
"DOU","1C:EDPM3-91",
"DOU","1S:EDPM3-01",
"DOU","1S:EDPM3-03",
"DOU","1S:EDPM3-04",
"DOU","2C:EDPM3-01",
"DOU","2C:EDPM3-03",
"DOU","2C:EDPM3-04",
"DOU","2C:EDPM3-91",
"DOU","3 GT:EDPM2-03",
"DUF","1C:LAT2-01",
"DUF","1C:LAT2-06",
"DUF","1S:LAT2-01",
"DUF","1S:LAT2-06",
"DUF","2C:COIN-00",
"DUF","4 GT:LAT4-01",
"DUF","4 GT:LAT4-02",
"DUF","5 GT:LAT4-01",
"DUF","6 GT:LAT4-01",
"DFO","1C:NL4-01",
"DFO","2C:NL4-01",
"DFO","3 GT:NL4-08",
"EVR","1C:ACJA2-01",
"EVR","1C:EDPF3-04",
"EVR","1C:EDPF3-91",
"EVR","1S:EDPF3-04",
"EVR","2C:EDPF3-05",
"EVR","2C:EXCO2-01",
"EVR","2C:EXCO2-02",
"EVR","3 GT:ACSP1-01",
"EVR","3 GT:EDPF2-01",
"EVR","3 GT:EDPF2-02",
"EVR","3 GT:EDPF2-04",
"EVR","3 TT:EDPF2-01",
"EVR","3 TT:TEEX2-01",
"EVR","4 GT:ACSP1-01",
"FBI","2C:NL4-06",
"FBI","2S:NL2-04",
"FBI","3 GT:ANG2-01",
"FBI","3 GT:ANG4-01",
"FBI","3 TT:ANG2-01",
"FBI","3 TT:NL4-01",
"FBI","6 TQ:NL2-05",
"FET","1C:EDM4-06",
"FET","1C:EDM4-08",
"FET","1D:EDM2-11",
"FET","1S:EDM4-06",
"FET","1S:EDM4-08",
"FET","2D:EDM2-21",
"FET","3 GT:HIS2-02",
"FET","4 GT:REL2-06",
"FET","5 GT:ESTH1-01",
"FET","5 GT:HIS2-02",
"FET","5 GT:REL2-02",
"FET","6 GT:ESTH1-01",
"FET","6 GT:FHIS2-04",
"LFI","1C:TEC1-07",
"LFI","1C:TEC1-08",
"LFI","1S:TEC1-07",
"LFI","1S:TEC1-08",
"LFI","2C:ACMA2-2a",
"LFI","2C:ACMA2-2b",
"LFI","2C:MATH5-02",
"LFI","2C:TEC1-06",
"LFI","2C:TEC1-07",
"LFI","2C:TEC1-11",
"LFI","2S:MATH7-9b",
"LFI","3 GT:MATH5-04",
"FRT","1C:MATH4-6a",
"FRT","1C:MATH4-6b",
"FRT","1C:MATH4-8a",
"FRT","1C:MATH4-8b",
"FRT","1S:MATH4-6a",
"FRT","1S:MATH4-6b",
"FRT","2C:ACMA2-08",
"FRT","2C:MATH5-06",
"FRT","2C:MATH5-08",
"FRA","4 GT:EDPF2-02",
"FRA","5 GT:EDPM2-02",
"FRA","5 TQ:AIP2-05",
"FRA","5 TQ:EDPF2-05",
"FRA","5 TQ:EDPM2-05",
"FRA","5 TQ:METH1-05",
"FRA","5 TQ:STA4-05",
"FRA","5 TQ:STA4-06",
"FRA","5 TQ:TEED3-05",
"FRA","6 GT:EDPF2-02",
"FRA","6 TQ:COIN-00",
"FRA","6 TQ:EDPF2-05",
"FRA","6 TQ:EDPM2-05",
"FRA","6 TQ:TEED3-05",
"FRA","6 TT:EDPF2-02",
"GIA","2C:LABO2-03",
"GIA","2C:SC3-05",
"GIA","2S:SC3-09",
"GIA","3 GT:GEO2-06",
"GIA","3 GT:GEO2-07",
"GIA","3 TT:GEO2-01",
"GLA","4 GT:MATH5-02",
"GLA","4 TT:MATH5-01",
"GLA","5 TQ:MATH2-05",
"GLA","6 GT:MATH6-02",
"GLA","6 TQ:MATH2-05",
"GOB","1C:FR6-08",
"GOB","1C:LAT2-02",
"GOB","1C:LAT2-08",
"GOB","1C:REL2-04",
"GOB","1C:REL2-08",
"GOB","1S:ACFR2-02",
"GOB","1S:FR6-08",
"GOB","1S:LAT2-02",
"GOB","1S:LAT2-08",
"GOB","1S:REL2-08",
"GOB","2C:LAT4-02",
"GOB","3 TT:REL2-01",
"GOB","4 TT:REL2-01",
"GOR","4 GT:ANG4-03",
"GOR","5 GT:ALL2-01",
"GOR","5 GT:HISN2-03",
"GOR","5 GT:NL4-03",
"GOR","6 GT:ALL2-01",
"GOR","6 GT:HISN2-03",
"GOR","6 GT:NL4-03",
"HEB","1C:EDM4-03",
"HEB","1C:EDM4-04",
"HEB","1C:EDM4-05",
"HEB","1S:EDM4-03",
"HEB","1S:EDM4-04",
"HEB","1S:EDM4-05",
"HEB","2C:EDM4-01",
"HEB","2C:EDM4-11",
"HEB","2S:EDM2-04",
"HEN","5 GT:MATH6-01",
"HEN","5 GT:MATH6-02",
"HEN","6 GT:MATH4-02",
"HEN","6 GT:MATH4-03",
"HNS","1C:ACNL2-02",
"HNS","1C:NL4-04",
"HNS","1C:NL4-05",
"HNS","1S:NL4-04",
"HNS","1S:NL4-05",
"HNS","2C:NL4-05",
"HNS","2C:NL4-07",
"HNS","3 GT:NL4-03",
"HRT","1C:TEC1-04",
"HRT","1C:TEC1-06",
"HRT","1S:TEC1-04",
"HRT","1S:TEC1-06",
"HRT","2C:TEC1-05",
"HRT","2S:SC2-04",
"HRT","3 TT:BIO2-01",
"HRT","4 GT:GEO2-03",
"HIN","4 GT:EDPM2-02",
"HIN","5 TQ:CORE1-05",
"HIN","6 TQ:COIN-00",
"HIN","6 TQ:COIN-01",
"HIN","6 TQ:COIN-02",
"HIN","6 TQ:AIP2-05",
"HIN","6 TQ:STAG4-05",
"HIN","6 TQ:STAG4-06",
"HIN","6 TQ:TEED2-05",
"HNA","2C:ACMA2-5a",
"HNA","2C:ACMA2-5b",
"HNA","2C:MATH5-05",
"HNA","2S:MATH5-04",
"HNA","2S:MATH7-0a",
"HNA","2S:MATH7-0b",
"HBR",":SODR-",
"INC",":SUED-",
"KAI","2C:COIN-00",
"KAI","2C:LABO2-01",
"KAI","2C:SC3-11",
"KAI","2S:SC3-10",
"KAI","3 GT:SC3-05",
"KAI","3 GT:SC5-1a",
"KAI","3 GT:SC5-3a",
"KRO","1C:ACNL2-04",
"KRO","2C:COIN-00",
"KRO","2C:REMNL-01",
"KRO","2C:REMNL-02",
"KRO","3 GT:ANG4-03",
"KRO","3 GT:ANG4-04",
"KSI","1C:ACFR2-01",
"KSI","1S:ACFR2-01",
"KSI","3 GT:FR5-03",
"KSI","3 GT:FR5-05",
"KSI","3 GT:FR5-06",
"LAC","1C:NL4-03",
"LAC","1C:NL4-07",
"LAC","1C:NL4-08",
"LAC","1D:NL2-11",
"LAC","1S:NL4-03",
"LAC","1S:NL4-07",
"LAC","1S:NL4-08",
"LAC","2C:NL4-11",
"LAC","2D:NL2-21",
"LAC","2S:NL4-09",
"LAM","1C:COIN-00",
"LAM","1C:TEC1-01",
"LAM","1C:TEC1-02",
"LAM","1C:TEC1-03",
"LAM","1C:TEC1-05",
"LAM","1D:DETE1-11",
"LAM","1D:INFO1-11",
"LAM","1S:TEC1-03",
"LAM","1S:TEC1-05",
"LAM","2C:TEC1-01",
"LAM","2C:TEC1-02",
"LAM","2C:TEC1-03",
"LAM","2C:TEC1-08",
"LAM","2D:DETE1-21",
"LAM","2D:INFO-21",
"LAM","2S:COIN-00",
"LAM","2S:INFO3-4a",
"LAM","2S:INFO3-4b",
"LAM","2S:TEC1-09",
"LAM","2S:TEC1-10",
"LEF","2C:MATH5-07",
"LEF","3 GT:MATH5-06",
"LEF","3 GT:REMMA-01",
"LEP","1D:CO60-11",
"LEP","1D:FR9-11",
"LEP","1D:MATH6-11",
"LEP","1D:REL2-11",
"LEP","1D:SC2-11",
"LEP","2D:FR9-21",
"LEP","2D:MATH6-21",
"LEP","2D:REL2-21",
"LEP","2D:SC2-21",
"LIB","4 GT:GEO2-02",
"LIB","4 GT:GEO2-04",
"LIB","4 GT:GEO2-06",
"LIB","4 TT:GEO2-01",
"LIB","5 GT:FGS2-01",
"LIB","5 GT:FGS2-02",
"LIB","5 TT:FGS2-01",
"LIB","6 GT:FGS2-01",
"LIB","6 GT:FGS2-02",
"LIB","6 GT:FGS2-03",
"LIB","6 GT:FGS2-04",
"LIB","6 TT:FGS2-01",
"SLI","2C:REL2-01",
"SLI","2C:REL2-07",
"SLI","2S:REL2-04",
"SLI","2S:REL2-10",
"SLI","3 GT:REL2-03",
"SLI","5 GT:REL2-01",
"SLI","5 TT:REL2-01",
"LOH","2C:EDM4-02",
"LOH","2C:EDM4-05",
"LOH","2C:EDM4-06",
"LOH","3 GT:HIS2-03",
"LOH","3 GT:HIS2-04",
"LOH","3 GT:HIS2-05",
"LOH","3 GT:HIS2-07",
"LOH","3 TT:HIS2-01",
"LOU","1C:FR6-01",
"LOU","1C:FR6-03",
"LOU","1C:FR6-05",
"LOU","1S:FR6-03",
"LOU","1S:FR6-05",
"LUF","1C:FR6-04",
"LUF","1C:FR6-06",
"LUF","1S:FR6-04",
"LUF","2C:FR5-07",
"LUF","3 GT:FR5-07",
"MAI","2C:INFO2-01",
"MAI","2C:INFO2-02",
"MAI","2C:INFO2-03",
"MAI","2S:INFO3-01",
"MAI","2S:INFO3-4a",
"MAI","2S:INFO3-4b",
"MAI","5 GT:REMSC-01",
"MAI","5 GT:REMSC-02",
"MAI","5 GT:SC6-91",
"MAI","6 GT:COIN-00",
"MAI","6 GT:SC6-91",
"MTO",":COMI-",
"MAT","3 GT:FR5-08",
"MAT","3 TT:FR5-01",
"MAT","3 TT:FREX2-01",
"MAT","4 GT:FR5-02",
